video_id,rank,component,bot_id,phase,level,time,channel_id,parent_video_id
t_TGEmwUUgg,8,videopage,sean.carter.99.test,create,0,2022-03-16 15:52:28.731145,UCzF4Ryn8TKn64md77gS5Q5Q,tCuhILOgrMM
E21NATEP9QI,9,videopage,sean.carter.99.test,create,0,2022-03-16 15:52:28.731146,UCLXo7UDZvByw2ixzpQCufnA,tCuhILOgrMM
kp36H_LZa2U,0,homepage,sean.carter.99.test,create,1,2022-03-16 15:59:01.514585,,
ULdkpU51hTQ,1,homepage,sean.carter.99.test,create,1,2022-03-16 15:59:01.525301,,
aOcAqCvH66Q,2,homepage,sean.carter.99.test,create,1,2022-03-16 15:59:01.534625,,
9voZnLhXFL4,3,homepage,sean.carter.99.test,create,1,2022-03-16 15:59:01.543015,,
DSCkYRTjlNw,4,homepage,sean.carter.99.test,create,1,2022-03-16 15:59:01.551778,,
2aadrXH6oic,5,homepage,sean.carter.99.test,create,1,2022-03-16 15:59:01.560102,,
7eOnu19E3vU,6,homepage,sean.carter.99.test,create,1,2022-03-16 15:59:01.568234,,
pRVFeLYQyuM,7,homepage,sean.carter.99.test,create,1,2022-03-16 15:59:01.575817,,
nP9zoP3km7g,8,homepage,sean.carter.99.test,create,1,2022-03-16 15:59:01.583857,,
LGQVn8nsvN0,9,homepage,sean.carter.99.test,create,1,2022-03-16 15:59:01.591914,,
sblnbcoCN8A,0,videopage,sean.carter.99.test,create,1,2022-03-16 15:59:18.349778,UCi6JtCVy4XKu4BSG-AE2chg,NRkbJsea2xw
lxASOQqWFrY,1,videopage,sean.carter.99.test,create,1,2022-03-16 15:59:18.349788,UCX17igkZ9JhU64JoTBVSWeQ,NRkbJsea2xw
vfJ2bpDrW6k,2,videopage,sean.carter.99.test,create,1,2022-03-16 15:59:18.349790,UClwddNv0Cr6SIEGkzVK886w,NRkbJsea2xw
EMK43WNG4JE,3,videopage,sean.carter.99.test,create,1,2022-03-16 15:59:18.349791,UCp1KrVaZDZ7BOI_QBuTWWmg,NRkbJsea2xw
XV5voabNkso,4,videopage,sean.carter.99.test,create,1,2022-03-16 15:59:18.349793,UCX17igkZ9JhU64JoTBVSWeQ,NRkbJsea2xw
O2TQ2ehSsKs,5,videopage,sean.carter.99.test,create,1,2022-03-16 15:59:18.349794,UCd-e0gGhydrz19q-3E0JQHg,NRkbJsea2xw
GJpZjG07QFE,6,videopage,sean.carter.99.test,create,1,2022-03-16 15:59:18.349796,UCSjPwBZccVEVtJislgWttfg,NRkbJsea2xw
HdKK3XtUnFY,7,videopage,sean.carter.99.test,create,1,2022-03-16 15:59:18.349798,UCzF4Ryn8TKn64md77gS5Q5Q,NRkbJsea2xw
