video_id,channel_id,rank,component,watch_video_id,bot_name,phase,homepage_level,videopage_level,topic,strategy,note,on_list,manual_label_1-4,exp_stage,on_topic
RCgp3Mwfa1Y,UCur6nu-T7FilkEztCm_S8yA,0,homepage,,alt-right_delete_2,stain,1,2,alt-right,delete,2,True,,1,True
2isYuQZMbdU,UCX6OQ3DkcsbYNE6H8uQQuVA,1,homepage,,alt-right_delete_2,stain,1,2,alt-right,delete,2,False,False,1,False
635S7qnKBtY&list=RD635S7qnKBtY&start_radio=1,,2,homepage,,alt-right_delete_2,stain,1,2,alt-right,delete,2,False,,1,False
3zlvqFcinr8,UCXHcH4CggCrvIpm0KM0kHQg,3,homepage,,alt-right_delete_2,stain,1,2,alt-right,delete,2,False,False,1,False
p4JBDcN7YFo,UCcj3FycZBXIPNj7QIBKTIDw,4,homepage,,alt-right_delete_2,stain,1,2,alt-right,delete,2,False,False,1,False
Sa9ny3-yGzM,UClKF27Ude7H3SPvSdsC9ktg,5,homepage,,alt-right_delete_2,stain,1,2,alt-right,delete,2,False,False,1,False
Hwy8SzVmWGc,UCFn1ROV1cysLXMkS53Aw6PQ,6,homepage,,alt-right_delete_2,stain,1,2,alt-right,delete,2,False,False,1,False
e0MJTfdADcA,UClw8Huc_XZcz46GJh5Z0wuA,7,homepage,,alt-right_delete_2,stain,1,2,alt-right,delete,2,False,False,1,False
YjWn23pEl3k,UCnxGkOGNMqQEUMvroOWps6Q,8,homepage,,alt-right_delete_2,stain,1,2,alt-right,delete,2,False,False,1,False
GgIxIZhEAs0,UC5zJwsFtEs9WYe3A76p7xIA,9,homepage,,alt-right_delete_2,stain,1,2,alt-right,delete,2,False,False,1,False
NRoUw5Zdo5s,UCjzl3ncT6GN1SyLF_3IVTFw,0,homepage,,alt-right_delete_2,stain,39,40,alt-right,delete,2,False,False,2,False
7VM7HgjzI9U,UCz8K1occVvDTYDfFo7N5EZw,1,homepage,,alt-right_delete_2,stain,39,40,alt-right,delete,2,False,False,2,False
5AhQB6jcsPA,UCGdWbUrKEj33BTLGLJYIwqg,2,homepage,,alt-right_delete_2,stain,39,40,alt-right,delete,2,False,False,2,False
k7KYNstlPcc,UCketCWflVRWm3AEzbno9-_w,3,homepage,,alt-right_delete_2,stain,39,40,alt-right,delete,2,False,False,2,False
3U4amyIOdBo,UCswH8ovgUp5Bdg-0_JTYFNw,4,homepage,,alt-right_delete_2,stain,39,40,alt-right,delete,2,False,False,2,False
165o8OoTSPE,UCgyLr40aVhjktaDSvAVGpAg,5,homepage,,alt-right_delete_2,stain,39,40,alt-right,delete,2,False,False,2,False
U-pbhiOZsns,UCN0-RRaxMgh86eOwndAklxw,6,homepage,,alt-right_delete_2,stain,39,40,alt-right,delete,2,True,,2,True
9W_Hz_I6o0I,UC554eY5jNUfDq3yDOJYirOQ,7,homepage,,alt-right_delete_2,stain,39,40,alt-right,delete,2,False,False,2,False
LfTso1GEQps,UCO01ytfzgXYy4glnPJm4PPQ,8,homepage,,alt-right_delete_2,stain,39,40,alt-right,delete,2,False,False,2,False
GwXLNmQ7BN4,UCXmyMqRPmZehbpOMkejHghQ,9,homepage,,alt-right_delete_2,stain,39,40,alt-right,delete,2,False,False,2,False
OAiO5_5_oPM,UCdC0An4ZPNr_YiFiYoVbwaw,0,homepage,,alt-right_delete_2,scrub,79,0,alt-right,delete,2,False,False,3,False
jfKfPfyJRdk,UCSJ4gkVC6NrvII8umztf0Ow,1,homepage,,alt-right_delete_2,scrub,79,0,alt-right,delete,2,False,False,3,False
zySUlGXbXvA,UCUaT_39o1x6qWjz7K2pWcgw,2,homepage,,alt-right_delete_2,scrub,79,0,alt-right,delete,2,False,False,3,False
SzuZnh91U8E,UCmyjVwYZbp5YPYTUyeopO2g,3,homepage,,alt-right_delete_2,scrub,79,0,alt-right,delete,2,False,False,3,False
lNe1D_E3R8E,UCPDis9pjXuqyI7RYLJ-TTSA,4,homepage,,alt-right_delete_2,scrub,79,0,alt-right,delete,2,False,False,3,False
yJxBWfZKMbk,UC3dj5GTfwq6CFXyleL9BNhQ,5,homepage,,alt-right_delete_2,scrub,79,0,alt-right,delete,2,False,False,3,False
Deu_F3Yychw,UCmwt1nrlc9VHtymGaM7jbvg,6,homepage,,alt-right_delete_2,scrub,79,0,alt-right,delete,2,False,False,3,False
2isYuQZMbdU,UCX6OQ3DkcsbYNE6H8uQQuVA,7,homepage,,alt-right_delete_2,scrub,79,0,alt-right,delete,2,False,False,3,False
rwh0O4UqOc4,UCSWwb_YyNB8vuC1VDcfPPaQ,8,homepage,,alt-right_delete_2,scrub,79,0,alt-right,delete,2,False,False,3,False
mU9Bkdou-hk,UCq6VFHwMzcMXbuKyG7SQYIg,9,homepage,,alt-right_delete_2,scrub,79,0,alt-right,delete,2,False,False,3,False
osvAP8w1kzg,UC9BMWLruGWsr1nTzFqmMfHw,0,homepage,,alt-right_delete_3,stain,1,2,alt-right,delete,3,False,False,1,False
2isYuQZMbdU,UCX6OQ3DkcsbYNE6H8uQQuVA,1,homepage,,alt-right_delete_3,stain,1,2,alt-right,delete,3,False,False,1,False
jfKfPfyJRdk,UCSJ4gkVC6NrvII8umztf0Ow,2,homepage,,alt-right_delete_3,stain,1,2,alt-right,delete,3,False,False,1,False
h1IJFV9LE4Y,UCeY0bbntWzzVIaj2z3QigXg,3,homepage,,alt-right_delete_3,stain,1,2,alt-right,delete,3,False,False,1,False
o3L8Pbt8Xyk,UCLAcytNR3gdw44yzoSiKluA,4,homepage,,alt-right_delete_3,stain,1,2,alt-right,delete,3,False,False,1,False
y22JungAZfA,UCc6ptziWAuO0B1LJerHBnEw,5,homepage,,alt-right_delete_3,stain,1,2,alt-right,delete,3,False,False,1,False
LtwKO3jIAdk,UCdqp0KK_Io7TwK5cJMBvB0Q,6,homepage,,alt-right_delete_3,stain,1,2,alt-right,delete,3,False,False,1,False
hqG7Zj-5WMI,UCpB959t8iPrxQWj7G6n0ctQ,7,homepage,,alt-right_delete_3,stain,1,2,alt-right,delete,3,False,False,1,False
fXS_gkWAIs0,UChPuCAEXg7iYkVNjQY1NGYg,8,homepage,,alt-right_delete_3,stain,1,2,alt-right,delete,3,False,False,1,False
zy_CbkbQ1MQ,UCq6VFHwMzcMXbuKyG7SQYIg,9,homepage,,alt-right_delete_3,stain,1,2,alt-right,delete,3,False,False,1,False
U-pbhiOZsns,UCN0-RRaxMgh86eOwndAklxw,0,homepage,,alt-right_delete_3,stain,39,40,alt-right,delete,3,True,,2,True
FrhfbYUdVIM,UCZGOa5YPTfmMTXKRCaPi7KA,1,homepage,,alt-right_delete_3,stain,39,40,alt-right,delete,3,False,False,2,False
t7STD2ESmWg,UCmFeOdJI3IXgTBDzqBLD8qg,2,homepage,,alt-right_delete_3,stain,39,40,alt-right,delete,3,False,False,2,False
Q7thCeXnPEI,UCXHcH4CggCrvIpm0KM0kHQg,3,homepage,,alt-right_delete_3,stain,39,40,alt-right,delete,3,False,False,2,False
0L6wQZqBVwg,UCHC60upCUfq7EAfw6oDQRDA,4,homepage,,alt-right_delete_3,stain,39,40,alt-right,delete,3,True,,2,True
