rank,video_id,channel_id,topic,strategy,on_topic,potential_other_category,update_required,notes
14,Kx6j7dglzbM,UCTM-p_LO8fsbLRMFqitWqBA,alt-right,delete,,,,
5,jNYp2qHskiQ,UCvWMErImdeJKAuai7uGnX4A,alt-right,dislike,FALSE,,,Vanpeth Lifestyle
8,vA2xgHkaLmM,UCIOW_qxnFZS-xOhdUeCl7-g,alt-right,dislike,FALSE,Politics-left,,Meme-ing the left (IDW???)
2,PXbjfPq_LAQ,UCMvJWHpw16t0SBbeqQ7SztA,alt-right,dislike,FALSE,,,memes
3,65nu8_HnYY8,UChMeRHAMeiYk8gsABu3eS9g,alt-right,dislike,FALSE,,,Korean kids show
9,ARBp0NKiPKU,UCPgcmbfStmXDCWh8KmpyUDA,alt-right,dislike,FALSE,,,Vlogging
10,v3vWfuyGI4E,UCDogdKl7t7NHzQ95aEwkdMw,alt-right,dislike,,,,
12,VqrH_7lQMvc,UCACaf4768OmfL-XWWIANy4g,alt-right,dislike,,,,
13,KyeM-mLV8EE,UCNTuVMv2WRVnYcgJx7DjNPQ,alt-right,dislike,,,,
2,jX4mnn54M_Q,UCtBvgENFSqmWIJ_OmCcZtRA,alt-right,dislike,FALSE,,,Kittens and music
7,xWMj-mFUDGA,UCZO_rA62WyBZCeTTW6BSjvQ,alt-right,dislike,FALSE,,,Domestic and abroad hero stories of military members
10,jFb9PkbasbU,UCWpE6ggqx67GtTfqQCeevVA,alt-right,dislike,,,,
12,58fqNL-kvaI,UC3ltptWa0xfrDweghW94Acg,alt-right,dislike,,,,
4,UuZCLAYqSEE,UCL_f53ZEJxp8TtlOkHwMV9Q,alt-right,dislike,FALSE,Politics-right,,Jordan Peterson
14,v3vWfuyGI4E,UCDogdKl7t7NHzQ95aEwkdMw,alt-right,dislike,,,,
3,RcLjaUTErnA,UChd1FPXykD4pust3ljzq6hQ,alt-right,dislike,FALSE,,,gamer
12,qLDp-aYnR1Y,UCSHZKyawb77ixDdsGog4iWA,alt-right,dislike,,,,
4,mM2a4G5f-hU,UCe-IpCdcY7Juh6XsJtfj9iw,alt-right,dislike-recommendation,FALSE,,,Comedy
8,OeMDtx7mBLc,UC6o-wWU-v2ClFMwougmK7dA,alt-right,dislike-recommendation,FALSE,Politics-left,,BBC Newsnight
10,-Z_IC3xrgJk,UCCXoCcu9Rp7NPbTzIvogpZg,alt-right,dislike-recommendation,,,,
11,mSdukBny4SQ,UCjzc6KWjzKosSGw0VkIHaaw,alt-right,dislike-recommendation,,,,
5,GN8w2EyIwLs,UCJFsqZrkiTLXpJac-jMMxFA,alt-right,dislike-recommendation,FALSE,,,French game collector
13,vEOvi4Vao_I,UCg8VTeeN4BglqmI1_CBlABg,alt-right,dislike-recommendation,,,,
14,HNOONugZ-FE,UCg4vDcovXPJTcTcYxQ9iCrw,alt-right,dislike-recommendation,,,,
11,Ooo3IOHy4x4,UCtOdHuKfct5Wv5TYdnVs-rQ,alt-right,dislike-recommendation,,,,
14,fDq_8y_drE8,UC0KkQzV-XvTLTToZbs2PrBw,alt-right,dislike-recommendation,TRUE,,,
5,B80U45JJG2k,UCSCgPvbLl_q_t2sy3pxBfnw,alt-right,dislike-recommendation,FALSE,,,music
11,YOPs3zUIMwU,UCKf0UqBiCQI4Ol0To9V0pKQ,alt-right,dislike-recommendation,,,,
4,7dWIDXcJB1E,UCdffptcvDrBiQVnDjHXRpcA,alt-right,dislike-recommendation,FALSE,,,Gavin McInnes (Alt-Lite)
3,wRJdLJlyv9A,UCBCi8RpchMBJaW5GZEgKhnA,alt-right,no-channel,FALSE,,,music
5,20yESmxCO1w,UCxBN8XjD1Cgh376DMHTPdYg,alt-right,no-channel,FALSE,,,not English
13,TFUbAAUsTOc,UCQFC6xLJy3NzxGXRkaPrlYQ,alt-right,no-channel,,,,
5,cv1Eh-yLUY0,UCI5F3u2GH1UDL83dzd08bDg,alt-right,no-channel,FALSE,,,not English (soccer news)
13,shZ46ODt164,UC4N7s7vYsTs6eRGUYh2fIEQ,alt-right,no-channel,,,,
1,KWB5PMgTNHY,UCbVcWGG3tQcRMAR9e4WNKUA,alt-right,no-channel,FALSE,,,TV show
4,1M5hvwecNcg,UCzNfiKcvNjLHljohEkO83Rg,alt-right,no-channel,FALSE,,,Arizona Cardinals news
8,fDq_8y_drE8,UC0KkQzV-XvTLTToZbs2PrBw,alt-right,no-channel,TRUE,,,Sam Hyde (link). This is their second coming channel after being banned the first time. Link to paid subscription-based TV
9,FjNPcyV8zFg,UCM7XCXnxtYJkkMN0zf0tsSw,alt-right,no-channel,FALSE,,,
11,HDcPGB0j_a0,UC6x4zJADfr5Z4w-bf8lbrcg,alt-right,no-channel,,,,
14,0SzmI4pT1cY,UCeKUSiFcCSJo1RrY_-cV_0A,alt-right,none,,,,
3,mikuECXsctY,UCTGdOxJ-uEPHerekLHfHVvg,alt-right,none,FALSE,,,videos of buses
7,GwLhaQCAk4U,UCGpsPLQNPisvIluBCL5NRuA,alt-right,none,FALSE,,,taken down
7,POg0UhVKOXM,UCy-VnRxdzpcQSnR8nPo4wWw,alt-right,none,FALSE,,,Ancient European legends explained
0,EqR5RtoM3H8,UCSIlpkjt79VuCG-IWrU4qLQ,alt-right,not-interested,FALSE,,,graph visualizations of sports/e-sports related stats
1,HB0CZ_5sPPw,UCHJuQZuzapBh-CuhRYxIZrg,alt-right,not-interested,FALSE,,,insider
3,zIxxtV6Fw4I,UCIugi05X4JKUQz3WPD-YKog,alt-right,not-interested,FALSE,Politics-right,,pro-gun
11,qOY_2nVozLA,UCXEns75ExsEwvw6UNmOQcNQ,alt-right,not-interested,,,,
1,B4UClSWEU4M,UCOQaX_La_bqLsjCohB7NHeA,alt-right,not-interested,FALSE,,,channel doesn't exist
11,AX3BeOJuMzo,UCSE6yilNScIz1SLTNQvrXMw,alt-right,not-interested,,,,
1,-PXAOZwvv04,UCLgt3zL2EKHX6xaZ0XmT1XQ,alt-right,not-interested,FALSE,,,Singapore culture/politics
8,93uCKG-DiIo,UCS1lj4kyIrWBqZ5YQHWgT5w,alt-right,not-interested,FALSE,,,David Blaine
10,J76BKzeLHfk,UCsVZh7ixefe7v0wlIkhfk9g,alt-right,not-interested,,,,
11,1zpGEfvBZAo,UCVwL23x69gt2XUPdgF2Nb4Q,alt-right,not-interested,,,,
14,jmqa23kHaGU,UCpTaewGuthzN4CuYKmgXneQ,alt-right,not-interested,FALSE,,,
10,s4ACjyobAug,UCzH2vVrSpjwHNM0U3jJM0lQ,alt-right,not-interested,,,,
12,SXuh6enDeYE,UCRzdMM6aHjAVZXEqd_NrwDQ,alt-right,not-interested,,,,
0,6L_MPhjuL60,UCLwa795M35UGttyryYK-tIw,alt-right,watch,FALSE,,,Old TV shows
3,o8Dn6je89dQ,UC7BMs7qui64f9O1LAodOC4g,alt-right,watch,FALSE,,,not in English
5,E7-Kht9Xnzc,UCpZ5qUqpW4hW4zdfuBxMSJA,alt-right,watch,FALSE,,,
12,SLJGnZ3SPQc,UCbsHYIZwk9pZIMp53ciDjOw,alt-right,watch,,,,
13,8SK4ihvA3Zg,UCD5ZtKIFmGNutSOpfvtL_zg,alt-right,watch,,,,
2,Z4iQxpwYhAg,UCZO_rA62WyBZCeTTW6BSjvQ,alt-right,watch,FALSE,,,
14,VoQU1n2XTyw,UCTvZcgH_rsvaGuZ8mU5jpnA,alt-right,watch,,,,
1,BtTaJAxrqf4,UCJZg9j7nM5F8HrAYB1arxAQ,alt-right,watch,FALSE,,,Football and WWE
2,-F7Ncj2btSg,UCRs1pHnES3QDdh43xbjOmzw,alt-right,watch,FALSE,,,crossfit
5,ty1cPrWX7vI,UC_ptyrI4N4EGBQ9vWVnrKrw,alt-right,watch,FALSE,,,personal vacation vlogs
5,g6bn6XrhYdc,UCYVuC_glCfB-jgc0w1O3EDQ,alt-right,watch,FALSE,,,music
7,POg0UhVKOXM,UCy-VnRxdzpcQSnR8nPo4wWw,alt-right,watch,FALSE,,,
12,e995vOelR5A,UCVKYCeuR3OyO-M2rfUXHDyg,alt-right,watch,,,,
1,YeRThnqKL8M,UCzHN-FjWDMsgfGPvRq7oy-Q,alt-right,watch,FALSE,some sort of politics,,FOX 6 Milwaukee
3,-ZwcU4EfJYM,UC9lqW3pQDcUuugXLIpzcUdA,alt-right,watch,FALSE,,,William Buckley Jr.
5,UgF-_TKGjBs,UCR0uWclVXSBTIGnpzl4Zqdw,alt-right,watch,FALSE,,,Not English music
7,Q1QwSJmStFM,UC2x_qNZXKDxNP1j4jvHATRQ,alt-right,watch,FALSE,some sort of politics,,Face the Nation news
11,XUFa8G56XVQ,UCXwRxm0zS0jBNTMOVI6xZJw,alt-right,watch,FALSE,,,
5,RFgJ2cPMVY8,UCKyQ0UxUM0kckMgZX1hiMcg,antitheist,delete,FALSE,,,Christian
7,xM85KtgU1Yk,UCiqcsTb6Z5_QbdBYxtH96-A,antitheist,delete,FALSE,,,Paragliding videos
2,SkkDD9tJmR0,UCWVCimOe67LOfyi9PjUeGgA,antitheist,delete,TRUE,,,former drug addict who now questions cults and religions through reporting academic research
5,9HWI73xLnv4,UCYx7brrA7urU7mi21eGxyOA,antitheist,delete,FALSE,,,Stock maerket analysis
13,Fnr1cfYL8LQ,UCNdGwhwU7EU51MuBhQFRL1g,antitheist,delete,FALSE,,,
5,x7h37VhjgHQ,UCG2nMF_FmDPBDsYigepKjbQ,antitheist,delete,FALSE,,,not English
8,V_vtYdABwA0,UCI15ZKi4kyBnueoUIvgCvoA,antitheist,delete,FALSE,,,
1,CoP5wLD9clU,UCXbXfisDHV_gDjawCKTyTIw,antitheist,delete,FALSE,,,music
4,7l6L5wFfsLU,UC0QHWhjbe5fGJEPz3sVb6nw,antitheist,delete,FALSE,,,Doctor Mike
11,LtwKO3jIAdk,UCdqp0KK_Io7TwK5cJMBvB0Q,antitheist,delete,,,,
13,lq4OiQs2z9A,UCiciOsypkXcqSFqSPd-NRVA,antitheist,delete,,,,
4,gJp7Wzdah-s,UCBHLgiiQMbPxRVAZCaAQa8g,antitheist,delete,FALSE,,,not English
7,g2cQ2kD6lzs,UCbk_QsfaFZG6PdQeCvaYXJQ,antitheist,delete,FALSE,,,Self-improvement podcast
9,sHkc83XA2dY,UC1W8ShdwtfgjRHdbl1Lctcw,antitheist,delete,FALSE,,,Restoring old videos of America
11,f3CH5LLQsSU,UCU1BkVOLFy9ydSZOjbSIUjA,antitheist,delete,,,,
5,SgI-5ZQjEy0,UCCMp2E0CtVtwzWv5IQUUDBg,antitheist,dislike,FALSE,,,channel doesn't exist
7,u1hgHTuNvdY,UClRjfLJIBl72CUkvZMJ7bKw,antitheist,dislike,FALSE,,,
8,piM1JxxtKFQ,UCyq3gA7Wg4Q3Uf0eMASQ7_A,antitheist,dislike,FALSE,,,channel doesn't exist
0,IdoD2147Fik,UCJJxaJ72jWF_gb0h0ASxaiQ,antitheist,dislike,FALSE,,,random
1,FBeSKL9zVro,UCtM5z2gkrGRuWd0JQMx76qA,antitheist,dislike,FALSE,,,restoring old tools
8,9CqmwqcmzMs,UCwO9dwHkUA39B6GUeTO-fNQ,antitheist,dislike,FALSE,,,gaming
8,3z665_LiLWI,UCTFk52S2qs92XLzfUHRznMQ,antitheist,dislike,FALSE,,,music
12,gekvMh0ZeGY,UCvDI2Sa4BxjJG6a9366hDAg,antitheist,dislike,,,,
5,Fg2rsJstKxo,UCxjkQtJzztnfhA8EqYWPovQ,antitheist,dislike,FALSE,,,banned channel
7,xd2CH5PmesU,UC0YvoAYGgdOfySQSLcxtu1w,antitheist,dislike,FALSE,politics,,political commentary
9,Thl4kNDejtA,UCFwbfx4RtT6RQU-S5tHHIxA,antitheist,dislike,,,,
13,FY4rp--Jgq4,UCnDZx7PgXWm1EXtqFkH-AeA,antitheist,dislike,,,,
14,YPqv9J6wFwE,UCSwRPvvfHwC2hq1uuJ-3DsQ,antitheist,dislike,,,,
9,3yogLC9MfkA,UC7_VH_kj0aD9vhuHmFheUYQ,antitheist,dislike-recommendation,FALSE,,,
14,4xzr_GBa8qk,UCauTfQ2Z2jB0YmOnmSPtMPg,antitheist,dislike-recommendation,,,,
1,rv4MjaF_wow,UCHnyfMqiRRG1u-2MsSQLbXA,antitheist,dislike-recommendation,FALSE,,,science guy
12,3deQXzV-qTk,UCZ54jCdWzxR-rS-i9QoQZdw,antitheist,dislike-recommendation,,,,
14,SpeSpA3e56A,UCRcgy6GzDeccI7dkbbBna3Q,antitheist,dislike-recommendation,,,,
5,dBap_Lp-0oc,UCHnyfMqiRRG1u-2MsSQLbXA,antitheist,dislike-recommendation,FALSE,,,
6,2bVA6TbSGUU,UCYC4ijpFZY_CtdElWFyy-Gg,antitheist,dislike-recommendation,FALSE,politics,,Slate news
8,gcyrrTud3x4,UCFQMO-YL87u-6Rt8hIVsRjA,antitheist,dislike-recommendation,FALSE,,,fantasy shows/books
12,nq4tT68UoCg,UCkFeoNSqYTa7trn75WM9tsg,antitheist,dislike-recommendation,,,,
1,lncLOEqc9Rw,UC9slx_T-Rjue2axR4IA9r5A,antitheist,dislike-recommendation,FALSE,,,international news
5,zVOvO5oCmps,UC4dxun8grR8anho6aZdrulA,antitheist,dislike-recommendation,FALSE,,,anti-Muslim Christian
8,g0OdmRtuQew,UCQBM4xr6y0JjQGB0puF7evQ,antitheist,dislike-recommendation,FALSE,,,one video
10,aHjygzLa2cQ,UC7YJqQIW_NACsE8wGZslsLw,antitheist,dislike-recommendation,,,,
3,iGfmQQpDv2Q,UCgmvVWc29nsa4uaGwSDF4Kw,antitheist,dislike-recommendation,FALSE,,,pro-science but not anti-religion
4,-6-Q3Mdj6Eo,UCC0_0zNfnHBNi50okydMGkw,antitheist,dislike-recommendation,TRUE,,,"counter-Christian podcast, self-prescribed Atheist (link)"
6,4QV5TmASw7I,UCEuhsgmcQRbtfiz8KMfYwIQ,antitheist,dislike-recommendation,FALSE,,,NASA
9,6Bl19IKkKjU,UCezvRYYMyyBDH8g0IwA3Caw,antitheist,dislike-recommendation,,,,
11,Fh3rbs9xPyU,UC6Ii2PPnHDkjLTJJQgOw7sQ,antitheist,dislike-recommendation,,,,
14,pO-0oM21Uhg,UCEq_Dr1GHvnNPQNfgOzhZ8Q,antitheist,dislike-recommendation,,,,
5,TzElm7R4RSY,UC8voy4IrQS7HEL1rCq5XLsw,antitheist,no-channel,FALSE,,,not English
6,Y9qlni5LA9Q,UC0bCUnP5RrkJZUtd3bBz6Kw,antitheist,no-channel,FALSE,politics,,WPTV News
4,IuDuKOSQXgk,UCPPZoYsfoSekIpLcz9plX1Q,antitheist,no-channel,FALSE,politics,,political commentary
10,4bEGLbCNRqw,UC5SjlJYvTNBFnQA94dWE64g,antitheist,no-channel,,,,
12,_wbS_todg9w,UCW0dnvm9NRJYbmKxhtnpWqQ,antitheist,no-channel,,,,
0,2bVA6TbSGUU,UCYC4ijpFZY_CtdElWFyy-Gg,antitheist,no-channel,FALSE,,,
3,b7UHXPQU1cM,UC--OJHMnaRmBtQJaa1RIcbQ,antitheist,no-channel,FALSE,,,gamer
7,dbeD8Z1Wh1g,UCcJL2ld6kxy_nuV1u7PVQ0g,antitheist,no-channel,FALSE,,,gamer
11,aFlromB6SnU,UCFbtcTaMFnOAP0pFO1L8hVw,antitheist,no-channel,,,,
4,vKHnippMPeA,UCiiD_FskvOW1liT7aGf8gvg,antitheist,no-channel,FALSE,,,music
5,vqPEm5FykNU,UCynceZutARWiCggpqQsmSdg,antitheist,no-channel,FALSE,,,Chinese
9,iGfmQQpDv2Q,UCgmvVWc29nsa4uaGwSDF4Kw,antitheist,no-channel,FALSE,,,
13,eB9am3HGQs0,UCIPrTRL2hvIMS1qu2AGEj9w,antitheist,no-channel,FALSE,,,
14,N274EurzpAA,UCYwVxWpjeKFWwu8TML-Te9A,antitheist,no-channel,,,,
0,m25S93GWl6U,UC8q-Dp7u3aW7kKiy_9IKmsA,antitheist,none,TRUE,,,Anti-JW who doesn't have a religion now (link)
10,cI0zN1nG3PQ,UCPhADRTIwDxB0vVSU33CijA,antitheist,none,,,,
8,8XNQM4aaYiQ,UCCR23SnRcuAqafV1lH1le5w,antitheist,none,TRUE,,,self-described atheist (explicit in thier description!)
14,aQ1Mtu_HZLc,UCNvzD7Z-g64bPXxGzaQaa4g,antitheist,none,,,,
3,eB9am3HGQs0,UCIPrTRL2hvIMS1qu2AGEj9w,antitheist,none,FALSE,,,old TV shows
14,PZ7lDrwYdZc,UCcf1t1tH-Pp5bmu4hbAytwA,antitheist,not-interested,,,,
0,AxLlUuWpadU,UCu82lq4IgdKhZPQJ9lK_-rw,antitheist,not-interested,FALSE,,,Johnny Depp clips
3,zXb0X_eM4sY,UCZIv78thfup6-JB5HxqT3Pg,antitheist,not-interested,FALSE,,,comedy
4,LKK63fl7J7U,UCaSmDhQNWPogseoH-rRtEoA,antitheist,not-interested,FALSE,,,tribal people react
5,hgh7UAAnqy8,UCk1Cqmpj3vtS9O58Gr9kyvA,antitheist,not-interested,FALSE,,,lifestyle videos
8,f1EQdWp0Ggo,UCKaY_IzDOy-7RuBFHJBKq7g,antitheist,not-interested,FALSE,,,personal family videos
13,9kgRHg3TaAI,UCCpGmaf-qV_-O7knbTlazLA,antitheist,not-interested,,,,
14,mhd9FXYdf4s,UCflg8pIElTb9qdFVaDC7gMQ,antitheist,not-interested,,,,
1,v-22XdFGxyE,UC-3jIAlnQmbbVMV6gR7K8aQ,antitheist,not-interested,FALSE,politics,,political talk show
5,0h1XlsskYmY,UCuTn8_8SfB68nNitTaC63IA,antitheist,not-interested,FALSE,,,random
10,pkSYR9HSmfw,UCSa0ZM0W0r_HgEWdNXBYdEA,antitheist,not-interested,,,,
14,TClRRMFZ7Sw,UCy0tKL1T7wFoYcxCe0xjN6Q,antitheist,not-interested,,,,
2,t17O2AKa2FU,UC16niRr50-MSBwiO3YDb3RA,antitheist,not-interested,FALSE,politics,,BBC news
5,R7fAKU_FgKw,UCpTaewGuthzN4CuYKmgXneQ,antitheist,not-interested,FALSE,,,recipes
7,EyF_XafkUCk,UCViHLxa_e42w21g4B1TkEfA,antitheist,not-interested,FALSE,,,show/movie reviews
8,RGNTYPmeLXk,UClykrxsUcLVY428ONkAUbJg,antitheist,not-interested,FALSE,,,nature/agriculture
10,FmDe9hQfXco,UCk2hNddcrBOJ_vwlFohhP-Q,antitheist,not-interested,,,,
2,vT8rJKHwBl4,UCsCo__V-uX9-yB0nhTni4Tg,antitheist,watch,FALSE,politics,,Alabama politics
3,lJW32LY-kqA,UCCMGnPgnTRf1gVLQziHGPIw,antitheist,watch,FALSE,,,not English
11,IlgtAzQhfOs,UC51KgmIyNO6uqxb68sjgIXw,antitheist,watch,FALSE,,,
12,RkWqb11wPdc,UCQAWn7vlYt1XB-nxxQww-wQ,antitheist,watch,,,,
1,n_8V3oxl0FM,UC9l0MbwmC88-wv9M8qORxwA,antitheist,watch,FALSE,,,"ex-Scientology member (but not self-proclaimed atheist: ""I am not myself a humanist, atheist, christian, agnostic, satanist, scientologist, nor anything else. Believe what you like, it doesn't matter."")"
11,5qEO-CzHBU0,UCF4LEacx9sDvAbEJnlaJfKQ,antitheist,watch,FALSE,politics,,local news KPIX CBS SF Bay Area
4,KjZT26xRpZs,UCVUWJN0Fz4JwCvoZwQKr84A,antitheist,watch,FALSE,,,dog videos
7,hzVDgYRoSeo,UC8p1vwvWtl6T73JiExfWs1g,antitheist,watch,FALSE,politics,,CBS News
13,X2iOe7DAc1Q,UCBu0KdNokE4MqdkacvH37_A,antitheist,watch,,,,
14,QjsfRDv2AOY,UCMYlXK0jyerVnc3dmz-vjCA,antitheist,watch,,,,
7,ozdL1lEA3Bg,UCYUZ0gWRp_HQCVEz0OovuAg,antitheist,watch,FALSE,,,crime stories
4,2yJMIL40P7I,UCt-pDGjLBAItRIz10C38VHQ,antitheist,watch,FALSE,,,toy reviews
13,8N8d5oUrMw0,UCpR_4YnLJAphcr0VI5yR5SA,antitheist,watch,,,,
14,TaE7i_OdOew,UCBu0KdNokE4MqdkacvH37_A,antitheist,watch,,,,
3,u9X5SQCDnio,UCV-oV8yecSfMZnzdKAhO_4A,politics-left,delete,FALSE,,,"""beautiful moments"" but uses sex appeal in title cards "
11,okpRE79cNS4,UCVnjt9mMx46gMUeTtONXimQ,politics-left,delete,FALSE,politics,***,local news
12,aH9sJicxW3M,UC-RxXi2Xws6Uk22vp-sLbGA,politics-left,delete,,,,
4,2isYuQZMbdU,UCX6OQ3DkcsbYNE6H8uQQuVA,politics-left,delete,FALSE,,,Mr. Beast
2,l5XP6T7xqek,UCSm-R5OcwjKSeQZFC6VROVw,politics-left,delete,FALSE,,,cool cars
4,0rliFQ0qyAM,UCJLZe_NoiG0hT7QCX_9vmqw,politics-left,delete,FALSE,,,Personal challenges
6,RAIGgXfyIoE,UC5hk6O61heulo6Ld-ZNP6WA,politics-left,delete,FALSE,,,ridiculous MTV 
10,VrKW58MS12g,UCY1kMZp36IQSyNx_9h4mpCg,politics-left,delete,,,,
13,okpRE79cNS4,UCVnjt9mMx46gMUeTtONXimQ,politics-left,delete,,,,
14,aH9sJicxW3M,UC-RxXi2Xws6Uk22vp-sLbGA,politics-left,delete,,,,
3,wxTh9WPAwJQ,UCWkDZy71Gu5UNbEfZYpBP3w,politics-left,delete,FALSE,,,English teacher
9,AivQBXds-r0,UCSUf5_EPEfl4zlBKZHkZdmw,politics-left,delete,FALSE,,,famous young vlogger
2,-jqg5-BBumI,UCgIMbGazP0uBDy9JVCqBUaA,politics-left,dislike,FALSE,,,New York Mets
3,aV_DKZyLK08,UCZKI2MCvkyXN1CMQz3_vH-Q,politics-left,dislike,FALSE,,,religious
6,HeGVeBWECu8,UCt8jfvd9skBAOT6XJwc_mJg,politics-left,dislike,FALSE,,,Family feud
7,OdE9o3mfzTo,UCozhpe8AaGOMxLsQQWfC1cw,politics-left,dislike,FALSE,,,cats
3,gK_rdWSkrwI,UC2KX4Ty39jJ0-wBr4ROsTIQ,politics-left,dislike,FALSE,,,not english
4,8cW22x8jQUo,UC84h1wDMJllUwHD5bbgtYug,politics-left,dislike,FALSE,,,cats
7,shN1gMpH-sg,UCmHQeP-Mnw0CfGOrPptEqQQ,politics-left,dislike,FALSE,,,celebrity news
9,Z7BqVCSJO7M,UCvJJ_dzjViJCoLf5uKUTwoA,politics-left,dislike,TRUE,,,CNBC
4,L2QdEWrb4YU,UCY-0eE6fX-tkicr2mh8e_kA,politics-left,dislike,FALSE,,,book tv
9,JZk6VzSLe4Y,UCrp_UI8XtuYfpiqluWLD7Lw,politics-left,dislike,TRUE,,,
0,4d7WDsrlzGg,UCDIPsk87a6D3QqS0DeAUMPA,politics-left,dislike,TRUE,,,"Michael McIntee at the Uptake.org (definnitely pretty left from issues covered and goals, such as promoting social/racial justice)"
1,YDQvv5D4wYs,UCqG9incBfICz75gDPGM7RlA,politics-left,dislike,FALSE,,,black culture tv
5,6GKCEzsSM-E,UC_esrg5XDlU1AKjc4yFFWhA,politics-left,dislike,FALSE,,,fitness
4,wmXt2Xe2eec,UCEHnH8TLTOQ1x9JrBeNojlw,politics-left,dislike,FALSE,,,bird owner
5,9xtqm2W7sog,UCw65f7SizlMScEOolfDtu9g,politics-left,dislike,TRUE,,,Black agenda report
8,Mz8pGEhmZWw,UCWlIGsKGsvgFJHkiZml4O1A,politics-left,dislike,FALSE,,,death stories
14,0AjUhe846k8,UCiAcuTMKc_WBQGFjtPnjxJQ,politics-left,dislike,,,,
0,2s_u01rDtWM,UCAxm7cstvjQn02xPLCffSuQ,politics-left,dislike-recommendation,FALSE,,,some traveler's home videos
2,p15GwVo4RSA,UCbjBOso0vpWgDht9dPIVwhQ,politics-left,dislike-recommendation,FALSE,politics-right,,Right-wing ?
5,_NS2HR6nw20,UCMrZK0aDy9SK5SiP0oLTH_Q,politics-left,dislike-recommendation,FALSE,,,music
8,9jXwWCyMJyc,UC_AgdslCdhZScRqH8GzEybg,politics-left,dislike-recommendation,FALSE,,,life and culture from a vlogger
6,8V2iZcKTkpU,UCyri-PL3l4Dn9IooWXQAqfA,politics-left,dislike-recommendation,FALSE,,,not American
12,u1hgHTuNvdY,UClRjfLJIBl72CUkvZMJ7bKw,politics-left,dislike-recommendation,FALSE,,,Al capone
3,ouRtgHvtlE4,UCgXfssZEtwg2NkYCb4aJs1Q,politics-left,dislike-recommendation,FALSE,,,
5,yKxBpkbHnpg,UCJHObTFu75LOjJcmeAU5THA,politics-left,dislike-recommendation,FALSE,,,"financial news. No explicit political stance (analyzes current finacial events, recommends advice, but does not give opinion)"
7,3WP0x0or2P0,UCiQaJnMzlfzzG3VESgyZChA,politics-left,dislike-recommendation,TRUE,,,seantor Cardin's YouTube channel (Maryland)
8,dXf5x39txIY,UCJJj2V_7rdz1XmJ4ocTTVIA,politics-left,dislike-recommendation,FALSE,,,Movie/show reviews
9,rz007EbGh44,UCo9oQdIk1MfcnzypG3UnURA,politics-left,dislike-recommendation,TRUE,,,The Rational National- memeing/gossiping the right
0,VwzNgVXaD3w,UCxzcBfvmeLmUNjlyM7FMgFg,politics-left,dislike-recommendation,FALSE,,,Larry King
2,RV3JBkmmWgU,UC4yHhzzwt6yHNx0qv_2A-oA,politics-left,dislike-recommendation,FALSE,,,music
5,cIOADnzJFAI,UCSrSalXYmmGGdJilpEXJI5w,politics-left,dislike-recommendation,FALSE,,,college
7,JA-9AWVi_e4,UCbcaJmfiW8s-p6T4NxoSbQA,politics-left,dislike-recommendation,FALSE,,,goose channel
0,hF7hTaJq1Ec,UCUZAUoL2_bd9cR8R5T_iSlQ,politics-left,dislike-recommendation,FALSE,politics-right,,right wing
