channel_id,topic,on_topic,update_required,notes
UCvR7QkSlCxuzAITcs99-G6Q,alt-right,FALSE,,self-motivation
UC2YBSdUnuFax3Afspzss1lg,alt-right,FALSE,,music
UCyGOloOIJWt8NlE4tnejQeA,alt-right,FALSE,,mental health disorder discussions from medical perspective
UC9Weax-77IL7dy5x6Jq4l9A,alt-right,FALSE,,crafts
UC5f5IV0Bf79YLp_p9nfInRA,alt-right,FALSE,,giant dares
UCXuqSBlHAE6Xw-yeJA0Tunw,alt-right,FALSE,,tech guy
UCMuMtNL3bLLEJ__u0kuEb-A,alt-right,FALSE,,music
UCxzC4EngIsMrPmbm6Nxvb-A,alt-right,FALSE,,space/nasa
UCr_6k9YCqcx6vmj-YZe33uQ,alt-right,FALSE,,music
UC176GAQozKKjhz62H8u9vQQ,alt-right,FALSE,,animal science
UCIPvxxHtvyQ4fSTj5JWpzog,alt-right,FALSE,,Omegle anti-genz/racists
UCYCVm1aN33HYdLs66DHw_ow,alt-right,FALSE,,world news
UCbmNph6atAoGfqLoCL_duAg,alt-right,FALSE,,talks at google
UCQ3GrD6WkEa1LhgNlvNiQZA,alt-right,FALSE,,TV show
UCD741Gk4lh8M0Agf5FUpJfg,alt-right,FALSE,,music
UCgKkNPU2Ib7_TcyAl8M2S-w,alt-right,FALSE,,Warner Bros.
UCAf4gUO9j334M8Qh_xb0Uvg,alt-right,FALSE,,cars
UCfCjQ-9-xeGnLF-MN6tZlqw,alt-right,FALSE,,wwe games
UCuVxaQDraOja6xKidcmoufA,alt-right,FALSE,,video games
UCrbxl9wHScrWKWIEoUWNIfQ,alt-right,FALSE,,Virginia DoE
UClqhvGmHcvWL9w3R48t9QXQ,alt-right,FALSE,,engineering explained
UC98mlqOY5HGNl5wrWS52F9A,alt-right,FALSE,,The Smithsonian
UCV6g95OBbVtFmN9uiJzkFqQ,alt-right,FALSE,,Cartoons about gamers
UCajKgpxKwbuhR2PkI7e-WUA,alt-right,FALSE,,US military aircraft
UCAmSx64lvnboX_U5GTXxdwQ,alt-right,FALSE,,about the 1920's
UCttUqDVfXgajFToBjiqepvQ,alt-right,FALSE,,bead accessories
UCq6kXwVFun_T74iatS4X22w,alt-right,FALSE,,nba
UCN6Fs5euLATPnAX2SuW6j_Q,alt-right,FALSE,,Native American History
