CHANNEL_ID,CHANNEL_TITLE,CHANNEL_VIEWS,COUNTRY,RELEVANCE,SUBS,CHANNEL_LIFETIME_DAILY_VIEWS,CHANNEL_LIFETIME_DAILY_VIEWS_RELEVANT,CHANNEL_VIDEO_VIEWS,RELEVANT_IMPRESSIONS_DAILY,RELEVANT_IMPRESSIONS_IN_DAILY,VIDEO_VIEWS_DAILY,RELEVANT_VIDEO_VIEWS_DAILY,AVG_MINUTES,FROM_DATE,TO_DATE,LR,TAGS,IDEOLOGY,MEDIA,LOGO_URL
UCjXB7nX8bL2U2sje8d212Yw,Roland S. Martin,312543735,US,1,820000,62169.133360,62169.133360,314202800,860207.4548926,831285.364024142,244707.630272953,244707.630272953,46.649291,2008-03-15T00:00:00.0000000Z,2022-01-15T00:00:00.0000000Z,L,"[
  ""SocialJustice""
]",Social Justice,YouTube,https://yt3.ggpht.com/ytc/AKedOLSiDfJ2K1CP6L1pOW-GaeEHnXGXV4iOd3NlMPoYZw=s88-c-k-c0x00ffffff-no-rj
UCIoH_r4sl6bIxoSx0Oxckuw,Americas Disinformation,5036205,,0.8,15600,7495.520833,7495.520833,5036990,16.115223732,0.02051781638,92.353598015,73.882878412,11.268097,2017-01-17T00:00:00.0000000Z,2018-11-20T00:00:00.0000000Z,R,"[
  ""PartisanRight""
]",Partisan Right,YouTube,https://yt3.ggpht.com/ytc/AKedOLTnw3HbpzzkX3TWc36fnzXsr9wqgEi7WSXSuxyA=s88-c-k-c0x00ffffff-no-rj
UCe-enk0KyKlf1A67RquYO3g,SurvivingScientology,12023497,US,0.9,31500,3746.949564,3746.949564,12035202,850.738461231,240.66066621,1528.485111663,1375.636600496,17.417832,2013-03-27T00:00:00.0000000Z,2022-01-11T00:00:00.0000000Z,C,"[
  ""AntiTheist""
]",Anti-theist,YouTube,https://yt3.ggpht.com/ytc/AKedOLRCxMO7ecOsn593GldjisZGxpsR5xWzAMB2QCdw=s88-c-k-c0x00ffffff-no-rj
UChh7XHTpiA8h4HC-zZQsQ6w,Namaste1001,9397141,,0.85,15500,5242.991071,5242.991071,9395440,0.3301818672,0.001765163151,49.457816377,42.039143921,3.540541,2009-05-30T00:00:00.0000000Z,2014-04-26T00:00:00.0000000Z,C,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLSViiABkkAA7ODro4C4aNCnd6bOJS1koQ6LCQ=s88-c-k-c0x00ffffff-no-rj
UCJqUJno1ZdoinQP7aaNaeAA,中国制造 Made in China,1300272,,0.8,13700,1719.968254,1719.968254,1300296,5.268747732,0.140275335,81.784119107,65.427295285,13.500000,2018-03-13T00:00:00.0000000Z,2020-04-07T00:00:00.0000000Z,C,"[
  ""Mainstream News""
]",Center/Left MSM,Mainstream Media,https://yt3.ggpht.com/ytc/AKedOLRPqTf66dB8qQQEqgfaU9PLv6k4XWjn9HzFUu2G=s88-c-k-c0x00ffffff-no-rj
UC5BcIVRHqDr1kInDOfq_1aA,PsimoesWeb Comedy,28297417,,0.8,43000,179115.981013,179115.981013,28300325,306.71541008,392.831095237,1860.258064516,1488.206451613,7.285714,2015-11-12T00:00:00.0000000Z,2016-04-18T00:00:00.0000000Z,C,"[
  ""Mainstream News""
]",Center/Left MSM,Mainstream Media,https://yt3.ggpht.com/ytc/AKedOLQkD3vZnO9Yuu5yvNAz3ykURkP3CqirgLThBfJYtw=s88-c-k-c0x00ffffff-no-rj
UCXfOKy0XLz2aQb3ziWDABaA,Gankerino,4631,US,0.85,10200,9.235521,9.235521,4784,0.3637076811,0.3516683803,5.937965261,5.047270471,22.000000,2020-03-09T00:00:00.0000000Z,2021-08-09T00:00:00.0000000Z,C,"[
  ""AntiSJW""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AKedOLR8oKLtCwXabn1KUBbpHwF-0QxXQEfRSahYy1Ee=s88-c-k-c0x00ffffff-no-rj
UCuwIymxgYBezp5I0Q053_Rg,The Key of David,17511105,,1,78300,3257.837388,3257.837388,17409883,8858.256180372,3103.900909565,7566.962779156,7566.962779156,18.807479,2007-05-29T00:00:00.0000000Z,2022-01-14T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLR_NHA9Esw90vFDAELSC9qcGB4aRb8u3NzSysks=s88-c-k-c0x00ffffff-no-rj
UCfDdlNLRVb1h3_7Xh-WhL3w,TheDC Shorts,274225044,,1,354000,65358.346730,65358.346730,274831848,536881.190225416,85116.041495437,234570.406947891,234570.406947891,3.707283,2010-07-12T00:00:00.0000000Z,2022-01-15T00:00:00.0000000Z,R,"[
  ""AntiSJW"",
  ""MissingLinkMedia"",
  ""PartisanRight""
]",Anti-SJW,Missing Link Media,https://yt3.ggpht.com/ytc/AKedOLTk-2BvXJxZwFWBEodRNWIONqtI3IqY9QnXyK-G4w=s88-c-k-c0x00ffffff-no-rj
UCFSx08Ew0iiWKyAz54Opdhw,Sanity 4 Sweden,19085488,SE,0.9,49300,9101.589634,9101.589634,19140643,34363.095480029,5179.523775155,15201.389578164,13681.250620347,5.024492,2016-04-13T00:00:00.0000000Z,2022-01-15T00:00:00.0000000Z,R,"[
  ""AntiSJW"",
  ""PartisanRight""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AKedOLQrvvp2A-KfrZyoVoVzjOFwJfPgn2X8YocvJlD8kw=s88-c-k-c0x00ffffff-no-rj
