channel_id,alt-right,antitheist,politics-left,politics-right
https://www.youtube.com/channel/UC1n_yB_W-FZCbwajZPcs8Jw,False,,,
https://www.youtube.com/channel/UC1o6smXb21IK3HV0yUcOFNg,,False,,
https://www.youtube.com/channel/UC1r9yJErJiT3hOp5gW_JKUw,,,False,
https://www.youtube.com/channel/UC1s9576cQFdQq3QTtTxocmA,,,False,
https://www.youtube.com/channel/UC1uggIBeFtgU4F92E8FK9_g,False,,,
https://www.youtube.com/channel/UC1vzNz91__Mk5I9fYe7SWVA,,,,False
https://www.youtube.com/channel/UC1yBKRuGpC1tSM73A0ZjYjQ,,False,,
https://www.youtube.com/channel/UC1yNl2E66ZzKApQdRuTQ4tw,False,False,False,
https://www.youtube.com/channel/UC21NXL5UJsfXPJoM0xuF2Mw,,,,False
https://www.youtube.com/channel/UC22Ww9SlqutdlxyoKAbNsLQ,,True,,
https://www.youtube.com/channel/UC29vLPlafHcsqZu3L-Rk_pA,,,False,False
https://www.youtube.com/channel/UC2AnkjPy95aL0X-q9MPm2-Q,False,,,
https://www.youtube.com/channel/UC2BDs0pu-C1A4POY0g9rZxw,,,,False
https://www.youtube.com/channel/UC2Cl2g2xFTZoAEldxYVzQFg,False,,,
https://www.youtube.com/channel/UC2DoIthHfz6alFIFHpCONzA,False,,,
https://www.youtube.com/channel/UC2KX4Ty39jJ0-wBr4ROsTIQ,,,False,
https://www.youtube.com/channel/UC2MbPazrSLEbgiHT3yQ4DnQ,False,,,
https://www.youtube.com/channel/UC2MrtVb1dT4FhcbOlW736kA,False,,,
https://www.youtube.com/channel/UC2QmeLYMLKdrrqKgkotcg_Q,,False,,
https://www.youtube.com/channel/UC2Rpb_4HefzNix9yhMlouCw,False,,,
https://www.youtube.com/channel/UC2UIXt4VQnhQ-VZM4P1bUMQ,,,False,
https://www.youtube.com/channel/UC2WUBo9QVTPo_AKZ8jn2pgA,,False,,
https://www.youtube.com/channel/UC2YBSdUnuFax3Afspzss1lg,False,,,
https://www.youtube.com/channel/UC2YKXCQ8wt1RFpQEELwILCQ,False,,,
https://www.youtube.com/channel/UC2azWG-2YzlQvqSxIW8xI5g,,False,,
https://www.youtube.com/channel/UC2cGFgeCTc1MxNEzPNcxvaA,False,,,
https://www.youtube.com/channel/UC2dKEErRa17KhjFBfnbb9wA,,,False,
https://www.youtube.com/channel/UC2ggrxKhqgTRx7We9vjQRCQ,False,,,
https://www.youtube.com/channel/UC2iFhd5sn38u_gzlUucTr6Q,False,,,
https://www.youtube.com/channel/UC2jAc3ifBNVT03iLjXSRPwQ,,,False,False
https://www.youtube.com/channel/UC2jDGHLWKW2x7ZJLYQyDwBQ,,,False,
https://www.youtube.com/channel/UC2jdnxPdJqfYxgv_7WldOkg,,,False,
https://www.youtube.com/channel/UC2kkU18MIJpUaCdokZj3_kQ,False,,,False
https://www.youtube.com/channel/UC2m77KGMIKZCD0Kw35-4shQ,False,,,
https://www.youtube.com/channel/UC2rLSYDm92QMytS9yIkT8UQ,,,False,
https://www.youtube.com/channel/UC2riFSCQZeuGMxEqwJVLHng,,,False,
https://www.youtube.com/channel/UC2xIdoggA4SBtZFP3kBsRoQ,False,,,
https://www.youtube.com/channel/UC2x_qNZXKDxNP1j4jvHATRQ,False,,,False
https://www.youtube.com/channel/UC2zRx91aTLQcQBB6IXUth-A,False,,,
https://www.youtube.com/channel/UC305pQrBuHzHhR_VdpT9V1Q,,False,,
https://www.youtube.com/channel/UC33MUN9VsFOiND95s0ALe-Q,False,,,
https://www.youtube.com/channel/UC3Hc3eyqALYSX0WKfqbO13Q,False,,,
https://www.youtube.com/channel/UC3Jivn57V6HIAY_Id_XNkYQ,,False,,
https://www.youtube.com/channel/UC3L9XPe0_FGfRG-CMGtBvFg,,False,,False
https://www.youtube.com/channel/UC3QAlv3wdYEhyveXPQPi-BA,False,,,
https://www.youtube.com/channel/UC3SavWiENFTi57igE7jtUoA,,,False,
https://www.youtube.com/channel/UC3ScyryU9Oy9Wse3a8OAmYQ,,,False,
https://www.youtube.com/channel/UC3TL2lUPabRGPbg4HqcuEyQ,False,,,
https://www.youtube.com/channel/UC3U3H8QvFoU7B5TG0xaeDNg,,,False,
https://www.youtube.com/channel/UC3UYZeKTM9Ju7DNy8a7GHvQ,False,,,
https://www.youtube.com/channel/UC3XTzVzaHQEd30rQbuvCtTQ,,False,,
https://www.youtube.com/channel/UC3Y1Q5AztrKYVLGYtYRc77w,,,,False
https://www.youtube.com/channel/UC3cC3fqGreVygtVtfGIRDGg,,,False,
https://www.youtube.com/channel/UC3cPhEuKo9FdMn6D0DNB8Iw,,,,False
https://www.youtube.com/channel/UC3dj5GTfwq6CFXyleL9BNhQ,False,,,
https://www.youtube.com/channel/UC3gDEBGv2HJQOEB6N-cuSPA,,False,,
https://www.youtube.com/channel/UC3gXZ8KfNQpt5N9n4UyjqeQ,False,,,
https://www.youtube.com/channel/UC3heSSZWju0ymDQo7jZQJ9g,,,,False
https://www.youtube.com/channel/UC3kMrgEHl6Stw8TE2PSQtrw,False,False,False,False
https://www.youtube.com/channel/UC3kxJQ9RfaS5CKeYbbFMi4Q,False,,,
https://www.youtube.com/channel/UC3ltptWa0xfrDweghW94Acg,,False,,
https://www.youtube.com/channel/UC3prwMn9aU2z5Y158ZdGyyA,,,,False
https://www.youtube.com/channel/UC3qvBA0Z6GLyrNvaJzX0FvQ,,,False,
https://www.youtube.com/channel/UC3rLoj87ctEHCcS7BuvIzkQ,False,,,False
